"","titular"
"154","Paris y diferencias con el Consejo Covid-19 por desconfinamiento: “Hemos seguido punto por punto el tema de la trazabilidad en las regiones dónde hemos avanzado”"
"155","EE.UU. enviará a otros países 60 millones de sus dosis anticovid de AstraZeneca"
"156","Covid-19 termina con los 56 años de historia de Johnson’s en el retail nacional"
"157","Noche de fiestas clandestinas en la RM: Un total de 87 detenidos por eventos ilegales en Las Condes, Lo Barnechea y Santiago"
"158","Renca con peor tasa de incidencia, San Pedro con mayor porcentaje de vacunados con primera dosis: Zoom a la RM"
"159","Cuba no registra casos nuevos de Covid-19 por primera vez desde que se detectó el primer contagio"
"160","Minsal informa que solo un 65% de las personas entre 48 y 49 años se han vacunado"
"161","Menor fue vacunada por error contra el covid-19 en Recoleta: Daza dice que se está investigando"
"162","“Se me ha hecho un daño invaluable”: los descargos del imputado por viajar a Temuco pese a ser sospechoso de coronavirus"
"163","Y si encontramos la vacuna, ¿qué sigue?"
"164","Mañalich anuncia 550 nuevos ventiladores mecánicos y capacidad llegaría a 4.859 a fines de junio"
"165","Las neurocientíficas que decidieron educar a la población a través de las redes sociales en plena pandemia"
"166","Las lesiones que proceden del Zoom"
"167","Ministro Paris dice que “no tenemos solicitud” para primer concierto en pandemia pero que “lo analizaremos”"
"168","Laurie Garrett: “Lo peor de esta pandemia ocurrirá en julio en el hemisferio sur”"
"169","

                
                
                Coronavirus: por qué secarse las manos es tan importante como lavárselas para evitar la propagación del covid-19
"
"170","Subsecretaria de la Niñez: “El 54% de los infractores del toque de queda son jóvenes”"
"171","No va más: la Enade 2020 finalmente se cancela debido al coronavirus"
"172","Donald Trump Jr., el hijo mayor del Presidente de EE.UU. da positivo a covid-19"
"173","India reporta 96.000 contagios en las últimas 24 horas y ordena repetir pruebas"
"174","Desde un histórico relator de los juegos FIFA hasta el querido japonés Ken Shimura: La larga lista de conocidos personajes que se han contagiado de coronavirus (VI)"
"175","Manual contra los “quebranta cuarentena”: la circular que define qué hacer con quienes rompen el confinamiento"
"176","Decreto Fogape dispone que el 25% del fondo debe ser para empresas de menor tamaño"
"177","Argentina suma 15.455 casos nuevos y 485 muertes por covid-19: Decesos llegaron a 22.710"
"178","Israel suspende el uso obligatorio de mascarilla al aire libre"
"179","EE.UU. se suma a programa COVAX para distribuir vacunas anticovid en el mundo"
"180","Antofagasta Minerals anuncia disminución de ingreso de trabajadores a sus faenas para evitar contagios por coronavirus"
"181","Llega a Chile segundo Hospital Modular: sumará 100 nuevas camas a la Red Integrada de Salud"
"182","Nuevos contagios reordenan a Chile en el panorama mundial frente a la pandemia"
"183","Ecuador cierra las fronteras terrestres y marítimas y suspende los vuelos internacionales por el coronavirus"
"184","

                
                
                Pérdida del olfato y su relación con SARS-CoV-2
"
"185","Concepción sigue como la comuna con más casos activos: RM y el Biobío las regiones que más tienen entre las 10 primeas"
"186","Los nuevos criterios para declarar a “no infectantes” y el carnet de alta: La prueba de blancura que divide a expertos"
"187","Cómo serán los viajes tras el coronavirus"
"188","

                
                
                Minsal comenzó estudio clínico para evaluar vacunación de tercera dosis contra el Covid-19
"
"189","Colegio hizo la prueba de adaptar sus salas a la pandemia, pero no resultó: Dice que “el regreso a clases es utópico”"
"190","Metlife anuncia que sus seguros complementarios y catastróficos cubrirán coronavirus por al menos cuatro meses"
"191","Paula Labra asume como nueva seremi de Salud de la Región Metropolitana"
"192","VIDEO. Los “zapatos antivirus” talla 75 que hacen cumplir la distancia social"
"193","Cuídese y tire toda la pinta con su mascarilla personalizada"
"194","

                
                
                Toxicóloga llama a desestimar falsas publicaciones sobre beneficios de drogas ilícitas contra el Covid-19
"
"195","Merkel apela a la solidaridad porque hasta el 70% de los alemanes podría contagiarse de coronavirus"
"196","Conteo diario del DEIS revela que muertes vinculadas al Covid-19 durante junio alcanzan el 51,37% del total de fallecidos a lo largo de la pandemia"
"197","Seis están en Fase 4 y cinco en cuarentena: El escenario de las 32 comunas que alcanzaron el 75% de vacunación"
"198","Presidente Piñera se reúne con agrupaciones de apoderados, que expresan matices sobre regreso a clases presenciales"
"199","Lassa, Ébola, Nipha, Hanta: estos son los virus que pueden convertirse en la próxima pandemia según la ciencia"
"200","Desde las 22.00 horas: Gobierno adelanta horario de toque de queda para todo el país a partir del sábado 26 de diciembre"
"201","Necesidades urgentes de los pacientes con secuelas respiratorias"
"202","

                
                
                Covid-19: Vacunas entran a fase crucial de ensayos que tomarán hasta 6 meses
"
"203","Brasil supera los 15 millones de casos de coronavirus y muertes alcanzan las 416.949"
"204","Ante el coronavirus, los creadores de Plague Inc. recuerdan a sus usuarios que es sólo un juego"
"205","Para vivir la emoción tuerca en cuarentena: Conoce estos videojuegos de autos que debes probar"
"206","

                
                
                Los protocolos éticos del Covid-19 y la discriminación hacia las personas con discapacidad
"
"207","Récord en entrega de permisos en últimas 24 horas: Más de 1.400.000 y mayoría para compras"
"208","Continúa la vacunación contra el Covid-19: Hoy será el turno de personas entre 54 y 55 años"
"209","Cementerios estarán cerrados durante fin de semana del Día de Padre en todo el país"
"210","En medio de cuestionamientos, entrega de permisos de vacaciones se mantiene al alza: ya van 1.223.156"
"211","Johnson y Macron se reúnen por primera vez desde el inicio de la pandemia en Reino Unido"
"212","Ministro Paris y eventual autodenuncia por paseo del Presidente Piñera sin mascarilla: ""Sería una buena señal"""
"213","Querellante en caso de fallecidos por Covid-19: “Buscamos que los querellados justifiquen sus decisiones”"
"214","Mañalich y coronavirus: “El destino de esto es que toda la población mundial se infecte, no hay ninguna manera de evitarlo a menos que exista una vacuna”"
"215","

                
                
                Mujer de 21 años es la persona más joven fallecida por Covid-19 en Chile
"
"216","Israel descarta ""variante chilena"" y reconoce ""lamentable error"" al usar ese concepto en linaje detectado en ese país"
"217","Casos activos totales de Covid-19 en la Región Metropolitana se triplican en los últimos 30 días"
"218","Científicos chilenos en la Antártica: las estrictas medidas para evitar que el coronavirus invada el único punto del planeta donde no ha llegado"
"219","¿Por cuántos meses persisten los anticuerpos del Covid-19 después de contagiarse?"
"220","

                
                
                Balance diario del Minsal: Las Condes, Vitacura y Santiago retroceden a Preparación y se registran 1.507 casos nuevos de COVID-19
"
"221","Minvu publicará protocolo para plazas y parques: Exigirá 50% del aforo y 5 metros de distancia entre grupos de personas"
"222","Presidente anuncia proyecto para endurecer penas contra quienes incumplan restricciones: Incluirá servicios comunitarios"
"223","Melbourne vuelve a confinarse y Sidney registra récord de casos de covid-19"
"224","Los primeros de la RM en reabrir: Con la asistencia de 20 alumnos parten clases en colegios de Pirque"
"225","Salud anuncia que se publicará decreto que permite suspender cirugías electivas: Se aplicará en 11 regiones"
"226","Nuevas víctimas del coronavirus son de Ñuble, La Araucanía y Los Lagos: Todos tenían sobre los 60 años"
"227","Mañalich por aglomeraciones en paraderos: Es evidente que la situación abre una inquietud"
"228","Disney venderá mascarillas reutilizables de Marvel y Star Wars para ayudar por el coronavirus"
"229","Regiones de O’Higgins y Del Maule superan los cinco mil casos acumulados de Covid-19, y porcentaje de ventiladores disponibles vuelve a los dos dígitos"
"230","Galería: Así se ve Italia en su primer día de cuarentena nacional debido al coronavirus"
"231","Las fechas que se barajan para los Juegos de Tokio"
"232","Chilenos en cuarentena: La experiencia en Tortel y de otras personas aisladas en sus casas tras el auge del Covid-19"
"233","

                
                
                Calendario de vacunación: personas entre 34 y 30 años recibirán primera dosis la próxima semana
"
"234","Coronavirus: Banco Central Europeo anuncia medidas para contener efectos económicos sin recortar tasas de interés"
"235","Mnuchin y enemigo de Musk apoyan intento de reapertura de Tesla"
"236","

                
                
                Gobierno se abre a mesa técnica que resuelva voto de pacientes COVID y otros casos en elecciones del 2021
"
"237","Vicepresidente de EE.UU. es el primer miembro de la Casa Blanca en vacunarse contra el Covid-19"
"238","

                
                
                Bolsonaro da positivo por coronavirus por tercera vez
"
"239","Hay todo un historial de problemas con Zoom que convocan a ser cuidadosos"
"240","Jeffrey Sachs: “Necesitamos elevar nuestro comportamiento ético y el compromiso con el bien común”"
"241","Estudio advierte: Efectos del coronavirus amenazan con sumir en la pobreza a más de 500 millones de personas"
"242","Perú evalúa endurecer restricciones para frenar rebrote de coronavirus"
"243","La pandemia deja más de 600.000 casos en el mundo durante el último día y roza el umbral de los 129 millones de contagios"
"244","Explosión de nuevos casos llevó positividad de los tests a un peak de 18%"
"245","¿El estilo Paris?: Ministro plantea idea de que balance del coronavirus sea más técnico y cada tres días"
"246","La Fórmula 1 cancela las pruebas de Azerbaiyán, Singapur y Japón"
"247","Sin público, sin saludos y algunos con mascarilla... Conoce las estrictas medidas con las que vuelve la Bundesliga"
"248","Fallece cónsul de Chile en Rosario diagnosticado con coronavirus"
"249","

                
                
                Presionado por las condiciones de RN y la UDI, Gobierno enfrenta hoy la votación de la prórroga del estado de excepción en la Cámara
"
"250","En qué se diferencian el Capítulo 11 con la Ley de Reemprendimiento chilena"
"251","Minsal reporta 27 decesos y 1.550 nuevos contagios: Testeos PCR totales superan los 5 millones y positividad fue de 3,92%"
"252","Cumbre del G7 parte en Inglaterra con el cambio climático y las vacunas como prioridades"
"253","Singapur y el Covid-19: del éxito al ocaso en 20 días"
"254","Minsal da a conocer datos de trazabilidad: Cinco regiones llegan a 100% y Valparaíso es la que tiene el menor índice"
"255","Ministro Walker afirma que embajador chino en Chile le expresó que coronavirus ""bajará su intensidad"" en los próximos 10 días"
"256","Autoridades cancelan definitivamente la edición 2020 del festival de Coachella"
"257","

                
                
                Defensoría de la Niñez informa que mantendrá modalidad de trabajo remoto a sus funcionarios
"
"258","Facebook pone fin a la prohibición de publicaciones que afirman que el Covid-19 fue creado por el hombre"
"259","Ministro de salud británico asegura que Boris Johnson está en “muy buen estado de salud”"
"260","Rebrotes de contagios por coronavirus en Beijing parecen disminuir según cifras de autoridades chinas"
"261","Neyün, Keepex, Ambumátic: estos son los cinco ventiladores mecánicos más prometedores que se diseñan en Chile"
"262","Argentina inicia vacunación con Sputnik V: Trabajdores de la salud y gobernador de Buenos Aires fueron inoculados"
"263","

                
                
                Los laboratorios universitarios, claves en el testeo de COVID-19 en Chile
"
"264","Anuncian el regreso de la Fórmula E con intenso calendario de seis carreras en nueve días"
"265","Luis Musrri: “Mi ida a la U fue un retroceso en lo profesional”"
"266","Ad portas de juntas de accionistas: Las alertas de los presidentes de grandes empresas por el estallido social y coronavirus"
"267","Las imágenes que dejan las primeras horas del desconfinamiento parcial en Valdivia"
"268","OMS dice que “quizá nunca haya” una “bala de plata” contra el virus"
"269","Estado de Florida registra más de 10 mil nuevos casos de coronavirus en un día, superando así los 300 mil contagiados"
"270","Piñera califica de ""mala noticia” el último Imacec y llama a los partidos políticos a colaborar para fortalecer la “red de protección”"
"271","La Moneda informa que el Presidente Piñera dio negativo a examen para detectar coronavirus"
"272","La calle en pandemia: La mitad de los conductores seguirá usando el auto, mientras crecen peatones y ciclistas"
"273","Pase de movilidad, fechas y edades: Preguntas y respuestas que dejó el anuncio de la dosis de refuerzo"
"274","El mea culpa de Mañalich: el exministro de Salud analizó sus fallas en la crisis sanitaria"
"275","Minsal reportó 6.263 contagios por Covid-19: positividad fue de un 7,77 por ciento a nivel nacional"
"276","Ministro Paris por investigación de muertes por Covid: “No hay ningún problema en entregar los datos”"
"277","Santiago Alba Rico:  “Preferimos un enemigo con un plan  que un azar desatado sobre el mundo”"
"278","

                
                
                Políticos de oposición llaman al Gobierno a ""modificar sus conductas"" y ofrecer ""soluciones concretas"" en medio de la pandemia
"
"279","MTT presenta plan de movilidad para retorno gradual con 222 medidas: Incluye ciclovías temporales y semáforos más cortos"
"280","Alemania registra más de 17 mil nuevos casos mientras continúa subiendo la tasa de incidencia"
"281","""No hay cerveza"" en México: Paralización ante coronavirus golpea al mayor exportador de la bebida en el mundo"
"282","Ministro Paris asegura que “probablemente” a mediados de junio comenzará la vacunación de los menores de 18 años"
"283","Salud e instructivo del Ministerio Público para fiscalizaciones: ""Como autoridad sanitaria seguiremos aplicando la normativa"""
"284","Dolly Parton aportó un millón de dólares para financiar la vacuna de un laboratorio contra el coronavirus"
"285","INDH llama al Poder Judicial a revisar medidas cautelares y pide al Gobierno evitar crisis sanitaria en cárceles"
"286","¿Cuál es la posibilidad de contagiarse en las “terrazas transitorias”?"
"287","Golpeada por una segunda ola y con cifras récord: La evolución de la pandemia en India"
"288","Mineduc inicia entrega de canastas de alimentación tras suspensión de clases: beneficiará a un millón 600 mil estudiantes"
"289","Por ahora solo hay pequeñas señales de las medidas de DC y Marvel Comics por el coronavirus"
"290","Permiso de vacaciones ha sido solicitado por 223 mil personas: Valparaíso, Coquimbo y La Araucanía las regiones más visitadas"
"291","Bachelet afirma que la pandemia ""dejó al descubierto todas las fisuras y fragilidades de nuestras sociedades"""
"292","Grupo de expertos propone una tasa global a las empresas mínimo de 25% en medio de crisis por covid-19"
"293","En EE.UU. recomiendan cubrirse la cara en lugares públicos: Trump asegura que medida es voluntaria y no lo hará"
"294","Mujer argentina pasa su cuarentena en un hotel cinco estrellas en París y le pagan por ello"
"295","Selección de pacientes y casi 3 mil muertos: el desborde de Perú"
"296","“Ningún otro caso como este”: niño de 3 años tuvo un derrame cerebral después de sufrir Covid"
"297","Pandemia hunde fusiones mundiales a nivel más bajo desde 2012"
"298","COVID-19: diez medidas que debe seguir si vive en edificio"
"299","En lo que va de abril hemos superado tres veces los 10 mil casos diarios de coronavirus entre confirmados y probables"
"300","Detenidos por infracciones sanitarias se disparan un 52% durante última jornada"
"301","Minsal reporta 120 decesos y 7.304 nuevos casos: Positividad llegó a 10,29%"
"302","Llega un millón de dosis de Sinovac: Chile ya ha recibido más de 23,7 millones de dosis"
"303","¿Por qué la OMS se niega a declarar pandemia por coronavirus?"
